names,owner,private,fork,archived,created_at,fork_count,open_issues,stargazers_count,watchers_count,stars_url,contributors_url,commits_url,downloaded_at
aws-sdk-cpp,irods,FALSE,TRUE,FALSE,2018-07-17T16:24:06Z,1,0,0,0,https://api.github.com/repos/irods/aws-sdk-cpp/stargazers,https://api.github.com/repos/irods/aws-sdk-cpp/contributors,https://api.github.com/repos/irods/aws-sdk-cpp/commits,"05 June, 2023"
irods_client_nfsrods,irods,FALSE,FALSE,FALSE,2018-08-15T17:06:56Z,9,25,8,8,https://api.github.com/repos/irods/irods_client_nfsrods/stargazers,https://api.github.com/repos/irods/irods_client_nfsrods/contributors,https://api.github.com/repos/irods/irods_client_nfsrods/commits,"05 June, 2023"
Catch2,irods,FALSE,TRUE,FALSE,2018-08-28T15:56:13Z,0,0,0,0,https://api.github.com/repos/irods/Catch2/stargazers,https://api.github.com/repos/irods/Catch2/contributors,https://api.github.com/repos/irods/Catch2/commits,"05 June, 2023"
irods_capability_integrity,irods,FALSE,FALSE,FALSE,2018-08-31T01:00:08Z,0,0,0,0,https://api.github.com/repos/irods/irods_capability_integrity/stargazers,https://api.github.com/repos/irods/irods_capability_integrity/contributors,https://api.github.com/repos/irods/irods_capability_integrity/commits,"05 June, 2023"
irods_microservice_plugin_moddataobjmeta,irods,FALSE,FALSE,FALSE,2018-09-06T13:51:53Z,0,0,0,0,https://api.github.com/repos/irods/irods_microservice_plugin_moddataobjmeta/stargazers,https://api.github.com/repos/irods/irods_microservice_plugin_moddataobjmeta/contributors,https://api.github.com/repos/irods/irods_microservice_plugin_moddataobjmeta/commits,"05 June, 2023"
irods_api_plugin_bulk_registration,irods,FALSE,FALSE,FALSE,2018-10-01T15:17:56Z,1,0,1,1,https://api.github.com/repos/irods/irods_api_plugin_bulk_registration/stargazers,https://api.github.com/repos/irods/irods_api_plugin_bulk_registration/contributors,https://api.github.com/repos/irods/irods_api_plugin_bulk_registration/commits,"05 June, 2023"
irods_rule_engine_plugin_update_collection_mtime,irods,FALSE,FALSE,TRUE,2018-10-23T11:11:18Z,3,0,0,0,https://api.github.com/repos/irods/irods_rule_engine_plugin_update_collection_mtime/stargazers,https://api.github.com/repos/irods/irods_rule_engine_plugin_update_collection_mtime/contributors,https://api.github.com/repos/irods/irods_rule_engine_plugin_update_collection_mtime/commits,"05 June, 2023"
deprecated_irods_xmsg_server,irods,FALSE,FALSE,FALSE,2018-10-26T15:46:26Z,1,0,0,0,https://api.github.com/repos/irods/deprecated_irods_xmsg_server/stargazers,https://api.github.com/repos/irods/deprecated_irods_xmsg_server/contributors,https://api.github.com/repos/irods/deprecated_irods_xmsg_server/commits,"05 June, 2023"
irods_filesystem,irods,FALSE,FALSE,FALSE,2018-10-28T13:33:25Z,2,0,1,1,https://api.github.com/repos/irods/irods_filesystem/stargazers,https://api.github.com/repos/irods/irods_filesystem/contributors,https://api.github.com/repos/irods/irods_filesystem/commits,"05 June, 2023"
irods_testing_jenkins,irods,FALSE,FALSE,FALSE,2018-10-30T18:35:29Z,7,57,3,3,https://api.github.com/repos/irods/irods_testing_jenkins/stargazers,https://api.github.com/repos/irods/irods_testing_jenkins/contributors,https://api.github.com/repos/irods/irods_testing_jenkins/commits,"05 June, 2023"
irods_capability_indexing,irods,FALSE,FALSE,FALSE,2019-03-11T18:48:52Z,10,34,1,1,https://api.github.com/repos/irods/irods_capability_indexing/stargazers,https://api.github.com/repos/irods/irods_capability_indexing/contributors,https://api.github.com/repos/irods/irods_capability_indexing/commits,"05 June, 2023"
